Clase;Precision;Recall;F1;Soporte
0;100.000000;100.000000;100.000000;15
1;100.000000;93.333333;96.551724;15
2;100.000000;100.000000;100.000000;15
3;93.750000;100.000000;96.774194;15
4;100.000000;100.000000;100.000000;15
5;87.500000;93.333333;90.322581;15
6;88.235294;100.000000;93.750000;15
7;81.250000;86.666667;83.870968;15
8;100.000000;93.333333;96.551724;15
9;88.235294;100.000000;93.750000;15
10;93.750000;100.000000;96.774194;15
11;65.217391;100.000000;78.947368;15
12;93.750000;100.000000;96.774194;15
13;100.000000;86.666667;92.857143;15
14;93.750000;100.000000;96.774194;15
15;93.333333;93.333333;93.333333;15
16;85.714286;80.000000;82.758621;15
17;93.750000;100.000000;96.774194;15
18;100.000000;100.000000;100.000000;15
19;100.000000;86.666667;92.857143;15
20;100.000000;93.333333;96.551724;15
21;93.333333;93.333333;93.333333;15
22;58.823529;66.666667;62.500000;15
23;92.857143;86.666667;89.655172;15
24;78.947368;100.000000;88.235294;15
25;87.500000;93.333333;90.322581;15
26;92.857143;86.666667;89.655172;15
27;93.750000;100.000000;96.774194;15
28;100.000000;100.000000;100.000000;15
29;100.000000;66.666667;80.000000;15
30;93.750000;100.000000;96.774194;15
31;100.000000;80.000000;88.888889;15
32;93.750000;100.000000;96.774194;15
33;93.333333;93.333333;93.333333;15
34;100.000000;93.333333;96.551724;15
35;100.000000;86.666667;92.857143;15
36;93.333333;93.333333;93.333333;15
37;88.235294;100.000000;93.750000;15
38;100.000000;93.333333;96.551724;15
39;100.000000;93.333333;96.551724;15
40;93.333333;93.333333;93.333333;15
41;88.235294;100.000000;93.750000;15
42;84.615385;73.333333;78.571429;15
43;78.571429;73.333333;75.862069;15
44;85.714286;80.000000;82.758621;15
45;80.000000;80.000000;80.000000;15
46;100.000000;73.333333;84.615385;15
47;100.000000;66.666667;80.000000;15
48;100.000000;100.000000;100.000000;15
49;100.000000;80.000000;88.888889;15
50;100.000000;80.000000;88.888889;15
51;100.000000;93.333333;96.551724;15
52;100.000000;80.000000;88.888889;15
53;93.333333;93.333333;93.333333;15
54;78.571429;73.333333;75.862069;15
55;93.750000;100.000000;96.774194;15
56;100.000000;93.333333;96.551724;15
57;85.714286;80.000000;82.758621;15
58;91.666667;73.333333;81.481481;15
59;70.000000;93.333333;80.000000;15
60;82.352941;93.333333;87.500000;15
61;92.307692;80.000000;85.714286;15
62;93.750000;100.000000;96.774194;15
63;71.428571;66.666667;68.965517;15
64;100.000000;100.000000;100.000000;15
65;88.235294;100.000000;93.750000;15
66;100.000000;100.000000;100.000000;15
67;88.235294;100.000000;93.750000;15
68;100.000000;86.666667;92.857143;15
69;83.333333;100.000000;90.909091;15
70;100.000000;100.000000;100.000000;15
71;77.777778;46.666667;58.333333;15
72;100.000000;86.666667;92.857143;15
73;100.000000;100.000000;100.000000;15
74;100.000000;100.000000;100.000000;15
75;93.750000;100.000000;96.774194;15
76;83.333333;100.000000;90.909091;15
77;83.333333;100.000000;90.909091;15
78;100.000000;93.333333;96.551724;15
79;70.588235;80.000000;75.000000;15
80;100.000000;86.666667;92.857143;15
81;82.352941;93.333333;87.500000;15
82;92.857143;86.666667;89.655172;15
83;100.000000;93.333333;96.551724;15
84;83.333333;100.000000;90.909091;15
85;93.750000;100.000000;96.774194;15
86;100.000000;100.000000;100.000000;15
87;100.000000;93.333333;96.551724;15
88;100.000000;93.333333;96.551724;15
89;88.235294;100.000000;93.750000;15
90;86.666667;86.666667;86.666667;15
91;88.235294;100.000000;93.750000;15
92;87.500000;93.333333;90.322581;15
93;93.333333;93.333333;93.333333;15
94;80.000000;80.000000;80.000000;15
95;75.000000;100.000000;85.714286;15
96;93.333333;93.333333;93.333333;15
97;93.333333;93.333333;93.333333;15
98;92.307692;80.000000;85.714286;15
99;100.000000;100.000000;100.000000;15
